participant_id,AET1,AET2,AET3,AET4,CLA1,CLA2,CLA3,CLA4,ALU1,ALU2,ALU3,ALU4,RDG1,RDG2,RDG3,RDG4,WHC1,WHC2,WHC3,WHC4,CEJ1,CEJ2,CEJ3,CEJ4,AISE1,AISE2,AISE3,AISE4,PEC1,PEC2,PEC3,PEC4,PI1,PI2,PI3,PI4,SD1,SD2,SD3,SD4,AET,CLA,ALU,RDG,WHC,CEJ,AI_Readiness_Total,ai_self_efficacy,prompt_engineering_confidence,political_interest,social_desirability,general_cognitive_ability,prior_coding_experience_years,programming_self_efficacy,coding_knowledge_test,coding_accuracy,debugging_score,code_quality_rating,coding_efficiency,coding_performance_task
1,1.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,,1.0,2.0,1.0,2.0,3.0,1.0,,3.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.75,3.0,4.25,4.0,2.75,2.3333333333333335,3.013888888888889,2.0,1.6666666666666667,3.0,1.0,1.5844958580558965,7.4,0.34613919007811567,0.6877599096247093,-0.44943561641139884,0.7454195702297471,1.085326462810606,1.5494830470192207,0.8108647891404754
2,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,,3.0,3.0,2.0,2.5,2.0,3.75,3.75,4.0,2.0,3.0,1.75,2.25,3.0,2.6666666666666665,-0.028432609688965466,0.4,0.23340762153853412,1.357958162912019,0.054431628135944564,-1.502528479042378,-0.13226895200456862,0.5755673670696176,-0.2519553277727241
3,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,3.0,5.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.25,4.25,3.75,3.75,3.25,4.333333333333333,3.9305555555555554,4.75,3.75,3.0,3.0,-0.6902475287840015,1.3,0.9995717601404737,0.7116853422912267,0.7582030993654679,1.267955581993963,0.9242575993083589,-0.5493643291982443,0.8009267621128346
4,4.0,,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,3.6666666666666665,1.5,2.0,2.25,1.75,2.5,2.2777777777777777,4.0,2.75,1.0,2.25,-1.472619315419495,5.9,-0.760768574332128,0.02806690857674359,0.23866155767781125,0.4024493982997392,-0.2755837830706073,-0.6558740271799486,-0.23816665182703645
5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,4.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,5.0,4.75,4.5,5.0,4.25,4.0,4.583333333333333,5.0,4.333333333333333,1.75,2.75,0.6895691627446173,4.3,2.4803948860103415,0.9347638967387105,2.0159406981505703,1.1143361299741263,3.044581754754828,2.598437039802177,2.402354950387335
6,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.25,2.0,2.25,1.5,2.25,2.5,1.9583333333333333,3.75,1.75,3.25,1.25,-0.3232020070625807,3.3,-1.037220287692619,0.3732446911804202,-1.523083739794338,-0.6657619422869663,-1.2079428319829881,0.4898333980943887,-0.5820152390527533
7,2.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,3.0,4.25,4.5,4.0,2.0,4.5,3.7083333333333335,4.25,3.25,4.75,2.25,0.6911530420125483,2.2,0.8169705664943603,0.11196484689181929,0.5764267138904776,0.2586655583831742,0.9878852793373207,0.39605200792094725,0.7044619631841685
8,4.0,2.0,5.0,,5.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,,5.0,5.0,4.0,4.0,2.0,5.0,4.0,,4.0,,5.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.6666666666666665,4.75,3.0,4.0,3.25,4.666666666666667,3.888888888888889,3.75,4.5,2.0,2.0,0.480993414625236,2.7,-1.3464281161622107,0.4093271307948294,1.318940421527106,0.33062677806676805,1.4320875827644035,0.24017774574445971,0.7430839081393715
9,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,,5.0,4.75,2.75,4.5,2.5,4.5,4.0,4.0,4.75,4.5,2.3333333333333335,-0.48171954560456764,7.0,1.554171479132983,0.7340074049545103,1.8762946684932518,1.7620245636654353,1.8755815290899003,0.4175514959718857,1.5883570660834856
10,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,3.0,2.75,1.5,1.5,1.75,1.6666666666666667,1.75,1.8194444444444444,1.75,1.25,2.0,3.75,1.6387074989611703,5.7,0.3207448105070885,-0.8759802758696222,-0.56597267353336,-0.39739364470261795,-0.44387768069288264,-0.0924579880671553,-0.2844756385093791
